"ID" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"CAMP" "CAMP" 0.995561688450866 7.07103309195013 10.2744268495403 1.61911241071376e-15 1.00718604748885e-12 24.972516609918
"TIE1" "TIE1" 1.87029356033673 7.60644779865576 10.263836633235 1.69066561065734e-15 1.02076422516394e-12 24.930380049332
"LMO2" "LMO2" 1.4648950945288 9.68128121340709 10.1783901572557 2.39745243136165e-15 1.40614010031406e-12 24.5900109634136
"GOLM1" "GOLM1" -1.80529061975739 9.57055449017646 -10.1625650276963 2.55785171117042e-15 1.45854388685851e-12 24.5268969271831
"TMED3" "TMED3" -1.03022851270412 9.31082023728578 -10.1286615226039 2.93875282162359e-15 1.63045183573754e-12 24.3916036242396
"CFP" "CFP" 1.60882636579761 7.2650256205469 10.1066419594623 3.21619246983416e-15 1.72137852636112e-12 24.3036765395428
"DPEP2" "DPEP2" 1.53856839482472 7.51555411656056 10.1025671072005 3.270350863605e-15 1.72137852636112e-12 24.2874002025339
"RUNX1" "RUNX1" -0.924705863255054 10.3349187929048 -10.0817517999328 3.56164533529208e-15 1.8278363860719e-12 24.2042330617548
"OCIAD2" "OCIAD2" -1.82990301503332 10.8204804129066 -10.0615586742367 3.86914403989439e-15 1.93721436221834e-12 24.1235140269456
"MNX1" "MNX1" -0.887276206985915 6.99581523651756 -10.0527117145069 4.01214156064765e-15 1.96098195135655e-12 24.0881379464069
"CXCR2" "CXCR2" 2.91966577007258 6.89048655601209 10.0412447363491 4.20542252165651e-15 1.9800114232999e-12 24.0422747431801
"JPT2" "JPT2" -0.965430789730958 10.2317733010633 -10.0390204484025 4.2439839548517e-15 1.9800114232999e-12 24.0333771315194
"CORO2B" "CORO2B" 1.63074969985199 5.72887399336315 10.0090830429023 4.79894264892682e-15 2.11575747398328e-12 23.9135781089789
"NECTIN4" "NECTIN4" -1.3145375407803 7.37354034352328 -10.0071317797323 4.83754901228243e-15 2.11575747398328e-12 23.9057670546717
"CLEC1A" "CLEC1A" 1.3127695967719 6.98714744564173 10.0067999856763 4.84414464522671e-15 2.11575747398328e-12 23.9044388241851
"ZBED2" "ZBED2" 2.45365225065146 7.15573536221954 9.98167027692627 5.37087859700506e-15 2.2522968682309e-12 23.8038117291215
"GLIPR2" "GLIPR2" 1.20836787103697 9.04545578179582 9.98142943764118 5.3761957591248e-15 2.2522968682309e-12 23.8028470639181
"RXFP1" "RXFP1" 2.01805285177866 5.83041469117647 9.9487244239504 6.1496628881925e-15 2.52480559537631e-12 23.6718019979035
"SH3GL2" "SH3GL2" 1.64927343544387 4.33157686997755 9.93832910790008 6.41821575963815e-15 2.58339476693827e-12 23.6301296122723
"SGCG" "SGCG" 1.91848490708732 6.01333107119864 9.93082622208598 6.61933990608045e-15 2.61311172292345e-12 23.6000464619813
"ICAM2" "ICAM2" 1.45339246516686 8.23538942680639 9.91358634225825 7.10580376901575e-15 2.75222527868595e-12 23.5309039359665
"ACE" "ACE" 1.4451141541502 8.22251132352941 9.84775165962945 9.31797090466969e-15 3.54220938390851e-12 23.2666321613256
"ABHD6" "ABHD6" 1.01527713744312 7.41100742181304 9.83922951205994 9.65093628849842e-15 3.60208036600537e-12 23.2323959684198
"CCM2L" "CCM2L" 1.71618264229249 7.41544819117647 9.8002884874545 1.13311960445939e-14 4.15369272148972e-12 23.0758803238373
"MME" "MME" 2.18440565038242 7.76882636070441 9.78729069806454 1.19551199784838e-14 4.3055211038301e-12 23.0236103812707
"GPIHBP1" "GPIHBP1" 2.36046302964427 7.87748636764706 9.77521760505013 1.25655405278972e-14 4.4473347578737e-12 22.9750466415806
"SERINC2" "SERINC2" -1.75680677417786 7.73865793461359 -9.76338756132517 1.31940396286504e-14 4.59063127960907e-12 22.9274490211706
"EFNA3" "EFNA3" -0.570061535529127 7.19651453636493 -9.73875076774334 1.46061600106209e-14 4.99725421163377e-12 22.8282876284609
"SERTM1" "SERTM1" 2.44214241304348 4.80595898529412 9.72203822477662 1.56495770384387e-14 5.26646749909951e-12 22.7609929919728
"KANK3" "KANK3" 1.78033096187791 7.33233981745476 9.70605543313209 1.67174209408034e-14 5.53508414633567e-12 22.6966159141846
"LILRB2" "LILRB2" 1.16325303071975 7.87002372882217 9.67181029507409 1.92583599089206e-14 6.27516844778289e-12 22.5586119648485
"FABP4" "FABP4" 3.50530210807215 8.6083772717751 9.64492485892086 2.15223396493463e-14 6.90329044252784e-12 22.4502025536381
"RAMP3" "RAMP3" 2.04621395180295 8.30696420888463 9.56226181578795 3.03002348319992e-14 9.56928031740429e-12 22.1165365769788
"KL" "KL" 2.124663281473 5.80934050308912 9.53230027060895 3.43038654487644e-14 1.06695416656399e-11 21.995471938844
"MYCT1" "MYCT1" 1.73538678260869 8.04881238235294 9.52543913948195 3.52930513094305e-14 1.08133695116416e-11 21.9677391353392
"GIMAP8" "GIMAP8" 2.06685366007905 8.80507447058823 9.51739975805519 3.64886118010004e-14 1.10152679860432e-11 21.9352394703785
"FLI1" "FLI1" 1.58264075108486 9.19249587248662 9.51181230374567 3.73434112907202e-14 1.11099354634189e-11 21.9126491047699
"TRPV2" "TRPV2" 1.14986521860916 8.93026770123209 9.45966980000925 4.63562147522094e-14 1.35942910919051e-11 21.7017264892258
"CDH5" "CDH5" 2.02296921543986 9.04442861980621 9.43434312351949 5.14923701166247e-14 1.47070616555802e-11 21.5992078618287
"AFAP1L1" "AFAP1L1" 1.64831045256917 7.06251886764706 9.43235632964988 5.19186716989494e-14 1.47070616555802e-11 21.5911637285248
"TRAF4" "TRAF4" -0.945848330517515 8.00026906141324 -9.43059271521009 5.23000536271119e-14 1.47070616555802e-11 21.5840229756521
"FAM107A" "FAM107A" 2.58495577405757 8.50346227440786 9.40450806104167 5.8280713133063e-14 1.61673848539935e-11 21.4783830397427
"TMEM74B" "TMEM74B" 1.15491217026424 6.86400402590297 9.3962572078085 6.03118513027321e-14 1.65077557805665e-11 21.444958332437
"TLR4" "TLR4" 1.9467024985536 7.3849312743685 9.38316317138385 6.36821234700933e-14 1.72008767183431e-11 21.3919041400885
"S1PR1" "S1PR1" 1.84500176806906 8.74067761215216 9.36851660791534 6.76765232322739e-14 1.8042385310547e-11 21.3325457958863
"SLC19A3" "SLC19A3" 1.76603058498024 5.96916920588235 9.34914723516669 7.33477826435365e-14 1.93036318218784e-11 21.2540253258115
"STK39" "STK39" -1.40241011531429 9.32074702116254 -9.33236222376734 7.86468222114857e-14 2.04362274222453e-11 21.1859614719448
"MANEAL" "MANEAL" -1.49491200197628 6.75904295588235 -9.3168995313324 8.38678593341964e-14 2.15204927051548e-11 21.1232434209815
"VSIR" "VSIR" 1.04255150001182 8.49628883137932 9.31194259511167 8.561414856226e-14 2.16973733541491e-11 21.1031343752756
"KDELR3" "KDELR3" -1.52618187428434 9.94709841204682 -9.29933325760738 9.02225835730657e-14 2.25864536047304e-11 21.0519743463537
"LOC101928370" "LOC101928370" 1.31318793675889 5.44478652941176 9.28396497004904 9.61773363474951e-14 2.37870886812214e-11 20.9896066842013
"LINC01996" "LINC01996" 0.951904124932813 4.96623537769976 9.25263095966917 1.09568560318281e-13 2.67764691215914e-11 20.8624007864576
"MED12L" "MED12L" 2.56969300301669 6.63190100762786 9.20332210996 1.34532289217994e-13 3.24903392125527e-11 20.6621003980272
"GIMAP6" "GIMAP6" 1.82249668591365 9.47237856879728 9.19096238562909 1.41638081556041e-13 3.38086806765397e-11 20.6118702552994
"BLACAT1" "BLACAT1" -1.62053320355731 6.37523536764706 -9.16632535891035 1.56945624473355e-13 3.69000473962127e-11 20.5117180196256
"GPD1" "GPD1" 0.986381835571084 6.28163430105804 9.16443864108937 1.58184147060927e-13 3.69000473962127e-11 20.5040468396079
"EMCN" "EMCN" 2.01923512186502 9.24073797638009 9.14603811721254 1.70789265679452e-13 3.93928319760427e-11 20.4292216067174
"CDH1" "CDH1" -1.09275734079947 12.0739493141104 -9.13060238187193 1.82137493945496e-13 4.12512042685294e-11 20.3664376373971
"RIPOR1" "RIPOR1" 0.854261276679842 9.88233873529412 9.12964462471677 1.82866052603676e-13 4.12512042685294e-11 20.3625415690422
"ANOS1" "ANOS1" 2.08152619049715 10.4784308725673 9.1253519323473 1.86167554825907e-13 4.12512042685294e-11 20.3450786530132
"FGR" "FGR" 1.70331707295666 8.61054806140278 9.12443002800164 1.86884352931276e-13 4.12512042685294e-11 20.3413281582445
"GMFG" "GMFG" 1.22126941130185 9.09410069149865 9.08674482893044 2.18681670151949e-13 4.74392008369171e-11 20.1879765111254
"MMRN2" "MMRN2" 1.90698025136953 7.87426004548285 9.08580516028501 2.19540339025094e-13 4.74392008369171e-11 20.1841517342416
